program;number;section;title;credits;days;times;room;faculty;tags
ECO;210;;Macroeconomic Analysis;3.0;;;YOUN 101;R. Radhakrishnan;
THR;111L;;Lighting Practicum 1 b;3.0;;;;A. Kuznetsova;
MAT;130L;;Introduction to Statistics;3.0;;;YOUN 201;D. Neidmann;
THR;114L;;Rehearsal and Performance 1 b;1.0;;TBA;;K. Anderson;
MAT;311;;Mathematical Statistics;3.0;;;YOUN 134;D. Hopper;
MUS;192L;;CentreJazz;4.0;;;GRNT 113 A**;D. Worley;
BIO;210L;;BIO 210 Lab;0.0;;;YOUN 208;G. Bell;
BIO;110L;;Evolution, Biodiversity, Ecology;4.0;;;YOUN 102;J. Shaffer;
ECO;110L;;Introduction to Economics;3.0;;;CRNS 102 E2;K. Jones;
CHE;242L;;Oranic Chemistry-II;4.0;;;YOUN 112;A. Hitron;
POL;260L;;Intro to International Relations;3.0;;;CRNS 307;A. Hor;
SPA;120L;;Beginning Spanish II;4.0;;;YOUN 245;Aja Lopez;
PHI;250L;;Self, World, and Freedom;3.0;;;CRNS 302;A. Roche;
ECO;500L;;Senior Seminar;3.0;;;OLIN 128;K. Greer;
PSY;492L;;Advanced Research Topics;3.0;;;YOUN 213;M. Cope;
SPA;120L;;Beginning Spanish II;4.0;-M-W-F-;9:10-10:10AM;;W. Costley;
CHE;242L;;CHE 242 Lab;0.0;;;YOUN 205;K. Paumi;
PHI;381;;Feminism and Philosophy;3.0;;;GRNT 401;E. Cadavid;
CHE;131L;;General Chemistry-I;4.0;;;YOUN 110 E3;R. Witt;
BIO;110L;;Evolution, Biodiversity, Ecology;4.0;;;YOUN 102;M. Galatowitsch;
PSY;500L;;Senior Seminar;3.0;;;YOUN 114;J. Goetz;
BIO;227L;;BIO 227 Lab;0.0;;;YOUN 126;A. Carr;
CHE;241L;;CHE 241 Lab;0.0;;;YOUN 236;A. Hitron;
PHI;110L;;Introduction to Philosophy;3.0;;;CRNS 302;A. Roche;
THR;111L;;Lighting Practicum 1 a A. Kuznetsova;0.0;;;;A. Kuznetsova;
REL;234L;;Heaven and Hell;3.0;;;YOUN 110 E2;L. Jefferson;
CHE;348L;;Polymer Chemistry;3.0;;;OLIN 202;L. Mehanna;
MAT;305L;;Combinatorics and Graph Theory;3.0;;;YOUN 110;L. Wiglesworth;
